Values,V1,v1_time_fitness_minutes,v1_distance_fitness_km,v1_runtime,V2,v2_time_fitness_minutes,v2_distance_fitness_km,v2_runtime,V3,v3_time_fitness_minutes,v3_distance_fitness_km,v3_runtime
,,204.178755,145.7585348,9.141746044,,586.1959044,188.5217444,0.024563789,,347.3583363,189.4103792,0.015940905
,,204.178755,145.7585348,8.743381977,,446.5450253,207.4673987,0.016134977,,347.3583363,189.4103792,0.010384083
,,220.2500828,145.7637609,8.646754026,,558.5184844,226.018395,0.016954899,,347.3583363,189.4103792,0.010084867
,,204.178755,145.7585348,8.720027924,,540.470783,239.4603092,0.023170948,,347.3583363,189.4103792,0.012280941
,,204.178755,145.7585348,8.52196908,,474.6232221,223.2520277,0.023916006,,347.3583363,189.4103792,0.011749983
,,220.2500828,145.7637609,8.789316893,,521.6102818,234.5448782,0.017410994,,347.3583363,189.4103792,0.010474205
,,204.178755,145.7585348,8.767044067,,440.0636487,223.3740887,0.017660141,,347.3583363,189.4103792,0.011293173
,,220.2500828,145.7637609,8.889055014,,557.6268293,206.5871818,0.019583225,,347.3583363,189.4103792,0.010816097
,,220.2500828,145.7637609,8.990891933,,438.8596583,192.7443017,0.022703886,,347.3583363,189.4103792,0.012625933
,,220.2500828,145.7637609,8.858314037,,567.512615,217.1234469,0.02501893,,347.3583363,189.4103792,0.011932135
,,204.178755,145.7585348,9.068799973,,364.7231232,187.9723447,0.01760006,,347.3583363,189.4103792,0.010378122
,,227.7599389,147.070494,8.726103067,,493.3542634,227.3823706,0.017530918,,347.3583363,189.4103792,0.010622025
,,248.234419,137.1778954,8.544821978,,524.5349297,194.3071904,0.018342018,,347.3583363,189.4103792,0.010950089
,,207.772509,140.343648,8.54123497,,616.5398151,221.9838652,0.017724037,,347.3583363,189.4103792,0.010530949
,,204.178755,145.7585348,8.368486166,,525.058449,218.8093269,0.017522097,,347.3583363,189.4103792,0.010555983
,,204.178755,145.7585348,8.526215076,,571.0946842,181.6077425,0.019283056,,347.3583363,189.4103792,0.010364056
,,220.2500828,145.7637609,8.304165125,,466.7498249,207.2165,0.018091917,,347.3583363,189.4103792,0.010356903
,,220.2500828,145.7637609,8.441963196,,591.359485,189.131934,0.019535065,,347.3583363,189.4103792,0.010417938
,,204.178755,145.7585348,8.467213869,,555.3852922,177.3334591,0.01926589,,347.3583363,189.4103792,0.010365009
,,207.772509,146.0066842,8.661290884,,521.0164356,182.1118036,0.018171072,,347.3583363,189.4103792,0.010325909
,,,,,,,,,,,,
Median,,207.772509,145.7585348,8.690659404,,524.7966894,207.3419494,0.018256545,,347.3583363,189.4103792,0.010543466
Standard Deviation,,11.64453664,2.260004919,0.228373501,,63.3679627,19.35491642,0.002759134,,1.17E-13,5.83E-14,0.001345658
Min,,204.178755,137.1778954,8.304165125,,364.7231232,177.3334591,0.016134977,,347.3583363,189.4103792,0.010084867
Max,,248.234419,147.070494,9.141746044,,616.5398151,239.4603092,0.02501893,,347.3583363,189.4103792,0.015940905
,,,,,,,,,,,,
Size of dataset:,172,,,,,,,,,,,
